货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S005-WAT-03,饮用水,Q23-011,S005,False,10800.0,,2870.657808548026,0.0,无需硬时限
S005-FOD-01,应急食品,Q23-011,S005,False,14400.0,,2870.657808548026,0.0,无需硬时限
S005-HYG-01,生活卫生用品,Q23-011,S005,False,18000.0,,2870.657808548026,0.0,无需硬时限
S006-MED-01,医疗物资,Q23-012,S006,True,3600.0,3600.0,3590.071191215335,0.0,医疗期望送达:是;首批截止:是
S006-WAT-01,饮用水,Q23-012,S006,True,3600.0,3600.0,3590.071191215335,0.0,首批截止:是
S008-MED-01,医疗物资,Q23-013,S008,True,7200.0,7200.0,6215.329609079281,0.0,医疗期望送达:是;首批截止:是
S008-WAT-01,饮用水,Q23-013,S008,True,7200.0,7200.0,6215.329609079281,0.0,首批截止:是
S008-WAT-02,饮用水,Q23-014,S008,False,7200.0,,2731.7199447097137,0.0,无需硬时限
S008-FOD-01,应急食品,Q23-014,S008,False,10800.0,,2731.7199447097137,0.0,无需硬时限
S008-HYG-01,生活卫生用品,Q23-014,S008,False,14400.0,,2731.7199447097137,0.0,无需硬时限
S011-MED-01,医疗物资,Q23-015,S011,True,10800.0,10800.0,7478.002068948909,0.0,医疗期望送达:是;首批截止:是
S011-WAT-01,饮用水,Q23-015,S011,True,10800.0,10800.0,7478.002068948909,0.0,首批截止:是
S011-FOD-01,应急食品,Q23-016,S011,False,14400.0,,833.9545977014363,0.0,无需硬时限
S012-MED-01,医疗物资,Q23-017,S012,True,7200.0,3600.0,1211.8307003260588,0.0,医疗期望送达:是;首批截止:是
S012-WAT-01,饮用水,Q23-017,S012,True,3600.0,3600.0,1211.8307003260588,0.0,首批截止:是
S014-MED-01,医疗物资,Q23-018,S014,True,7200.0,3600.0,3594.0378421740124,0.0,医疗期望送达:是;首批截止:是
S014-WAT-01,饮用水,Q23-018,S014,True,3600.0,3600.0,3594.0378421740124,0.0,首批截止:是
S015-MED-01,医疗物资,Q23-019,S015,True,7200.0,7200.0,3438.545616316972,0.0,医疗期望送达:是;首批截止:是
S015-WAT-01,饮用水,Q23-019,S015,True,10800.0,10800.0,3438.545616316972,0.0,首批截止:是
S010-FOD-01,应急食品,Q23-020,S010,False,7200.0,,6932.603337388353,0.0,无需硬时限
S013-FOD-01,应急食品,Q23-020,S013,False,7200.0,,6525.545587394829,0.0,无需硬时限
S010-MED-01,医疗物资,Q23-021,S010,True,3600.0,3600.0,1054.8227862473875,0.0,医疗期望送达:是;首批截止:是
S010-WAT-01,饮用水,Q23-021,S010,True,3600.0,3600.0,1054.8227862473875,0.0,首批截止:是
S014-FOD-01,应急食品,Q23-021,S014,False,7200.0,,1488.660788732564,0.0,无需硬时限
S007-MED-01,医疗物资,Q23-022,S007,True,3600.0,3600.0,3516.735521568304,0.0,医疗期望送达:是;首批截止:是
S007-WAT-01,饮用水,Q23-022,S007,True,3600.0,3600.0,3516.735521568304,0.0,首批截止:是
S015-FOD-01,应急食品,Q23-022,S015,False,14400.0,,3908.1343965908127,0.0,无需硬时限
S009-FOD-01,应急食品,Q23-023,S009,False,14400.0,,3994.097949019715,0.0,无需硬时限
S013-MED-01,医疗物资,Q23-023,S013,True,3600.0,3600.0,3535.733804062999,0.0,医疗期望送达:是;首批截止:是
S013-WAT-01,饮用水,Q23-023,S013,True,3600.0,3600.0,3535.733804062999,0.0,首批截止:是
S009-MED-01,医疗物资,Q23-024,S009,True,10800.0,10800.0,5524.979895273555,0.0,医疗期望送达:是;首批截止:是
S009-WAT-01,饮用水,Q23-024,S009,True,10800.0,10800.0,5524.979895273555,0.0,首批截止:是
S012-FOD-01,应急食品,Q23-024,S012,False,7200.0,,5978.925702113089,0.0,无需硬时限
S006-WAT-02,饮用水,Q23-025,S006,False,3600.0,,4544.076942636982,944.0769426369816,无需硬时限
S006-WAT-03,饮用水,Q23-025,S006,False,3600.0,,4544.076942636982,944.0769426369816,无需硬时限
S006-FOD-01,应急食品,Q23-025,S006,False,7200.0,,4544.076942636982,0.0,无需硬时限
S006-HYG-01,生活卫生用品,Q23-025,S006,False,10800.0,,4544.076942636982,0.0,无需硬时限
S007-WAT-02,饮用水,Q23-025,S007,False,3600.0,,5230.998362077678,1630.9983620776784,无需硬时限
S007-FOD-01,应急食品,Q23-025,S007,False,7200.0,,5230.998362077678,0.0,无需硬时限
S007-HYG-01,生活卫生用品,Q23-025,S007,False,10800.0,,5230.998362077678,0.0,无需硬时限
